code,name,latitude,longitude
PYF,French Polynesia,-15,-140
QAT,Qatar,25.5,51.25
REU,Réunion,-21.15,55.5
ROU,Romania,46,25
RUS,Russia,60,100
RWA,Rwanda,-2,30
SAU,Saudi Arabia,25,45
SDN,Sudan,15,30
SEN,Senegal,14,-14
SGP,Singapore,1.36666666,103.8
SGS,South Georgia,-54.5,-37
SJM,Svalbard and Jan Mayen,78,20
SLB,Solomon Islands,-8,159
SLE,Sierra Leone,8.5,-11.5
SLV,El Salvador,13.83333333,-88.91666666
SMR,San Marino,43.76666666,12.41666666
SOM,Somalia,10,49
SPM,Saint Pierre and Miquelon,46.83333333,-56.33333333
SRB,Serbia,44,21
SSD,South Sudan,7,30
STP,São Tomé and Príncipe,1,7
SUR,Suriname,4,-56
SVK,Slovakia,48.66666666,19.5
SVN,Slovenia,46.11666666,14.81666666
SWE,Sweden,62,15
SWZ,Swaziland,-26.5,31.5
SXM,Sint Maarten,18.033333,-63.05
SYC,Seychelles,-4.58333333,55.66666666
SYR,Syria,35,38
TCA,Turks and Caicos Islands,21.75,-71.58333333
TCD,Chad,15,19
TGO,Togo,8,1.16666666
THA,Thailand,15,100
TJK,Tajikistan,39,71
TKL,Tokelau,-9,-172
TKM,Turkmenistan,40,60
TLS,Timor-Leste,-8.83333333,125.91666666
TON,Tonga,-20,-175
TTO,Trinidad and Tobago,11,-61
TUN,Tunisia,34,9
TUR,Turkey,39,35
TUV,Tuvalu,-8,178
TWN,Taiwan,23.5,121
TZA,Tanzania,-6,35
UGA,Uganda,1,32
UKR,Ukraine,49,32
UMI,United States Minor Outlying Islands,19.3,166.633333
URY,Uruguay,-33,-56
USA,United States,38,-97
UZB,Uzbekistan,41,64
VAT,Vatican City,41.9,12.45
VCT,Saint Vincent and the Grenadines,13.25,-61.2
VEN,Venezuela,8,-66
VGB,British Virgin Islands,18.431383,-64.62305
VIR,United States Virgin Islands,18.35,-64.933333
VNM,Vietnam,16.16666666,107.83333333
VUT,Vanuatu,-16,167
WLF,Wallis and Futuna,-13.3,-176.2
WSM,Samoa,-13.58333333,-172.33333333
YEM,Yemen,15,48
ZAF,South Africa,-29,24
ZMB,Zambia,-15,30
ZWE,Zimbabwe,-20,30
