source,target,count,label
USA,LBY,111,1990-1995
USA,LSO,30,2005-2010
USA,LSO,37,2000-2005
USA,LSO,0,1995-2000
USA,LSO,34,1990-1995
USA,MAR,10,2005-2010
USA,MAR,7,2000-2005
USA,MAR,0,1995-2000
USA,MAR,0,1990-1995
USA,MDG,213,2005-2010
USA,MDG,668,2000-2005
USA,MDG,0,1995-2000
USA,MDG,79,1990-1995
USA,MRT,119,2005-2010
USA,MRT,190,2000-2005
USA,MRT,0,1995-2000
USA,MRT,93,1990-1995
USA,MUS,72,2005-2010
USA,MUS,78,2000-2005
USA,MUS,0,1995-2000
USA,MUS,70,1990-1995
USA,MYT,69,2005-2010
USA,MYT,197,2000-2005
USA,MYT,0,1995-2000
USA,MYT,14,1990-1995
USA,REU,133,2005-2010
USA,REU,578,2000-2005
USA,REU,0,1995-2000
USA,REU,25,1990-1995
USA,RWA,722,2005-2010
USA,RWA,42,2000-2005
USA,RWA,1095,1995-2000
USA,RWA,0,1990-1995
USA,SSD,11165,2005-2010
USA,SSD,1583,2000-2005
USA,SSD,0,1995-2000
USA,SSD,0,1990-1995
USA,STP,2,2005-2010
USA,STP,1,2000-2005
USA,STP,0,1995-2000
USA,STP,4,1990-1995
USA,SWZ,83,2005-2010
USA,SWZ,0,2000-2005
USA,SWZ,0,1995-2000
USA,SWZ,59,1990-1995
USA,TGO,51,2005-2010
USA,TGO,42,2000-2005
USA,TGO,82,1995-2000
USA,TGO,138,1990-1995
USA,TUN,41,2005-2010
USA,TUN,2,2000-2005
USA,TUN,0,1995-2000
USA,TUN,25,1990-1995
USA,TZA,1026,2005-2010
USA,TZA,0,2000-2005
USA,TZA,0,1995-2000
USA,TZA,290,1990-1995
USA,UGA,906,2005-2010
USA,UGA,470,2000-2005
USA,UGA,30,1995-2000
USA,UGA,53,1990-1995
USA,ZAF,15712,2005-2010
USA,ZAF,15415,2000-2005
USA,ZAF,171,1995-2000
USA,ZAF,55951,1990-1995
USA,ZMB,14,2005-2010
USA,ZMB,8,2000-2005
USA,ZMB,0,1995-2000
USA,ZMB,280,1990-1995
CAN,ALB,35,2005-2010
CAN,ALB,26,2000-2005
CAN,ALB,17,1995-2000
CAN,ALB,0,1990-1995
CAN,AUT,2162,2005-2010
CAN,AUT,1796,2000-2005
CAN,AUT,128,1995-2000
CAN,AUT,2576,1990-1995
CAN,BEL,2586,2005-2010
CAN,BEL,2079,2000-2005
CAN,BEL,386,1995-2000
CAN,BEL,2355,1990-1995
CAN,BGR,327,2005-2010
CAN,BGR,218,2000-2005
CAN,BGR,51,1995-2000
CAN,BGR,52,1990-1995
CAN,CHE,2063,2005-2010
CAN,CHE,2311,2000-2005
CAN,CHE,144,1995-2000
CAN,CHE,3265,1990-1995
CAN,CZE,4314,2005-2010
CAN,CZE,242,2000-2005
CAN,CZE,510,1995-2000
CAN,CZE,1555,1990-1995
CAN,DEU,16084,2005-2010
CAN,DEU,11968,2000-2005
CAN,DEU,2929,1995-2000
CAN,DEU,63175,1990-1995
CAN,DNK,1086,2005-2010
CAN,DNK,475,2000-2005
CAN,DNK,467,1995-2000
CAN,DNK,825,1990-1995
CAN,ESP,18616,2005-2010
CAN,ESP,23442,2000-2005
CAN,ESP,1967,1995-2000
CAN,ESP,6247,1990-1995
CAN,FIN,1101,2005-2010
CAN,FIN,383,2000-2005
CAN,FIN,140,1995-2000
CAN,FIN,553,1990-1995
CAN,FRA,2319,2005-2010
CAN,FRA,2529,2000-2005
CAN,FRA,53,1995-2000
CAN,FRA,2784,1990-1995
CAN,GBR,21299,2005-2010
CAN,GBR,19390,2000-2005
CAN,GBR,4016,1995-2000
CAN,GBR,8957,1990-1995
CAN,GRC,4051,2005-2010
CAN,GRC,4821,2000-2005
CAN,GRC,3054,1995-2000
CAN,GRC,19651,1990-1995
CAN,HRV,29,2005-2010
CAN,HRV,11,2000-2005
CAN,HRV,241,1995-2000
CAN,HRV,379,1990-1995
CAN,HUN,2402,2005-2010
CAN,HUN,1678,2000-2005
CAN,HUN,4395,1995-2000
CAN,HUN,1467,1990-1995
CAN,IRL,582,2005-2010
CAN,IRL,2309,2000-2005
CAN,IRL,1782,1995-2000
CAN,IRL,2869,1990-1995
CAN,ISL,786,2005-2010
CAN,ISL,438,2000-2005
CAN,ISL,78,1995-2000
CAN,ISL,119,1990-1995
CAN,ITA,39209,2005-2010
CAN,ITA,31219,2000-2005
CAN,ITA,494,1995-2000
CAN,ITA,1225,1990-1995
CAN,LUX,305,2005-2010
CAN,LUX,296,2000-2005
CAN,LUX,10,1995-2000
CAN,LUX,953,1990-1995
CAN,MKD,3,2005-2010
CAN,MKD,2,2000-2005
CAN,MKD,0,1995-2000
CAN,MKD,0,1990-1995
CAN,MLT,33,2005-2010
CAN,MLT,44,2000-2005
CAN,MLT,116,1995-2000
CAN,MLT,320,1990-1995
CAN,MNE,25,2005-2010
CAN,MNE,18,2000-2005
CAN,MNE,0,1995-2000
CAN,MNE,6,1990-1995
CAN,NLD,1600,2005-2010
CAN,NLD,1635,2000-2005
CAN,NLD,406,1995-2000
CAN,NLD,2047,1990-1995
CAN,NOR,3231,2005-2010
CAN,NOR,1335,2000-2005
CAN,NOR,275,1995-2000
CAN,NOR,539,1990-1995
CAN,POL,1266,2005-2010
CAN,POL,1003,2000-2005
CAN,POL,7,1995-2000
CAN,POL,146,1990-1995
CAN,PRT,821,2005-2010
CAN,PRT,1058,2000-2005
CAN,PRT,1407,1995-2000
CAN,PRT,22341,1990-1995
CAN,ROU,1321,2005-2010
CAN,ROU,1162,2000-2005
CAN,ROU,58,1995-2000
CAN,ROU,88,1990-1995
CAN,SRB,42,2005-2010
CAN,SRB,1,2000-2005
CAN,SRB,1285,1995-2000
CAN,SRB,1446,1990-1995
CAN,SVK,976,2005-2010
CAN,SVK,147,2000-2005
CAN,SVK,1597,1995-2000
CAN,SVK,1821,1990-1995
CAN,SVN,129,2005-2010
CAN,SVN,64,2000-2005
CAN,SVN,464,1995-2000
CAN,SVN,53,1990-1995
CAN,SWE,1697,2005-2010
CAN,SWE,520,2000-2005
CAN,SWE,309,1995-2000
CAN,SWE,3084,1990-1995
USA,ALB,3226,2005-2010
USA,ALB,1171,2000-2005
USA,ALB,21,1995-2000
USA,ALB,0,1990-1995
USA,AUT,28405,2005-2010
USA,AUT,24528,2000-2005
USA,AUT,6,1995-2000
USA,AUT,16008,1990-1995
USA,BEL,18602,2005-2010
USA,BEL,17063,2000-2005
USA,BEL,36,1995-2000
USA,BEL,13782,1990-1995
USA,BGR,4489,2005-2010
USA,BGR,2704,2000-2005
USA,BGR,11,1995-2000
USA,BGR,309,1990-1995
USA,BIH,430,2005-2010
USA,BIH,399,2000-2005
USA,BIH,9280,1995-2000
USA,BIH,0,1990-1995
USA,CHE,48262,2005-2010
USA,CHE,45455,2000-2005
USA,CHE,17,1995-2000
USA,CHE,29935,1990-1995
USA,CHI,1044,2005-2010
USA,CHI,746,2000-2005
USA,CHI,0,1995-2000
USA,CHI,742,1990-1995
USA,CZE,29070,2005-2010
USA,CZE,5828,2000-2005
USA,CZE,297,1995-2000
USA,CZE,3770,1990-1995
USA,DEU,105286,2005-2010
USA,DEU,89863,2000-2005
USA,DEU,1792,1995-2000
USA,DEU,370089,1990-1995
USA,DNK,9962,2005-2010
USA,DNK,4795,2000-2005
USA,DNK,142,1995-2000
USA,DNK,4863,1990-1995
USA,ESP,189955,2005-2010
USA,ESP,258392,2000-2005
USA,ESP,723,1995-2000
USA,ESP,34221,1990-1995
USA,FIN,6903,2005-2010
USA,FIN,3492,2000-2005
USA,FIN,22,1995-2000
USA,FIN,2346,1990-1995
USA,FRA,32583,2005-2010
USA,FRA,38717,2000-2005
USA,FRA,3,1995-2000
USA,FRA,33524,1990-1995
USA,GBR,140824,2005-2010
USA,GBR,130735,2000-2005
USA,GBR,698,1995-2000
USA,GBR,42672,1990-1995
USA,GRC,34629,2005-2010
USA,GRC,37499,2000-2005
USA,GRC,0,1995-2000
USA,GRC,70210,1990-1995
USA,HRV,2710,2005-2010
USA,HRV,1297,2000-2005
USA,HRV,131,1995-2000
USA,HRV,2715,1990-1995
USA,HUN,18801,2005-2010
USA,HUN,13920,2000-2005
USA,HUN,5510,1995-2000
USA,HUN,6197,1990-1995
USA,IRL,9581,2005-2010
USA,IRL,31064,2000-2005
USA,IRL,380,1995-2000
USA,IRL,8338,1990-1995
USA,ISL,4754,2005-2010
USA,ISL,2485,2000-2005
USA,ISL,75,1995-2000
USA,ISL,780,1990-1995
USA,ITA,255654,2005-2010
USA,ITA,207371,2000-2005
USA,ITA,591,1995-2000
USA,ITA,4871,1990-1995
USA,LUX,5925,2005-2010
USA,LUX,3418,2000-2005
USA,LUX,7,1995-2000
USA,LUX,4076,1990-1995
USA,MKD,1055,2005-2010
USA,MKD,322,2000-2005
USA,MKD,0,1995-2000
USA,MKD,1,1990-1995
USA,MLT,433,2005-2010
USA,MLT,473,2000-2005
USA,MLT,4,1995-2000
USA,MLT,660,1990-1995
USA,MNE,1707,2005-2010
USA,MNE,386,2000-2005
USA,MNE,0,1995-2000
USA,MNE,2954,1990-1995
USA,NLD,13085,2005-2010
USA,NLD,13758,2000-2005
USA,NLD,20,1995-2000
USA,NLD,15174,1990-1995
USA,NOR,22454,2005-2010
USA,NOR,8878,2000-2005
USA,NOR,141,1995-2000
USA,NOR,5438,1990-1995
USA,POL,21134,2005-2010
USA,POL,16399,2000-2005
USA,POL,0,1995-2000
USA,POL,1599,1990-1995
USA,PRT,8558,2005-2010
USA,PRT,10035,2000-2005
USA,PRT,58,1995-2000
USA,PRT,56631,1990-1995
USA,ROU,10268,2005-2010
USA,ROU,9293,2000-2005
USA,ROU,5,1995-2000
USA,ROU,602,1990-1995
USA,SRB,26930,2005-2010
USA,SRB,48,2000-2005
USA,SRB,1719,1995-2000
USA,SRB,10837,1990-1995
USA,SVK,6270,2005-2010
USA,SVK,2252,2000-2005
USA,SVK,2007,1995-2000
USA,SVK,5077,1990-1995
USA,SVN,3507,2005-2010
USA,SVN,1786,2000-2005
USA,SVN,128,1995-2000
USA,SVN,151,1990-1995
USA,SWE,18933,2005-2010
